item,truth
0,3
1,1
2,3
3,3
4,2
5,0
6,2
7,2
8,2
9,1
10,1
11,4
12,2
13,3
14,1
15,4
16,2
17,3
18,0
19,2
20,2
21,2
22,1
23,2
24,3
25,3
26,3
27,2
28,2
29,3
30,3
31,2
32,3
33,1
34,4
35,3
36,1
37,1
38,3
39,1
40,4
41,2
42,2
43,3
44,1
45,1
46,2
47,1
48,1
49,0
50,3
51,0
52,1
53,1
54,1
55,2
56,4
57,1
58,2
59,3
60,3
61,1
62,1
63,1
64,3
65,0
66,4
67,3
68,0
69,3
70,1
71,3
72,3
73,2
74,2
75,4
76,0
77,2
78,1
79,1
80,4
81,1
82,0
83,0
84,1
85,0
86,3
87,4
88,3
89,1
90,0
91,0
92,3
93,3
94,0
95,1
96,3
97,3
98,2
99,2
